Titles,DOIs
Multi-Modal Point-of-Care Diagnostics for COVID-19 Based on Acoustics and Symptoms,DOI:10.1109/JTEHM.2023.3250700
Towards sound based testing of COVID-19—Summary of the first Diagnostics of COVID-19 using Acoustics (DiCOVA) Challenge,DOI:10.1016/j.csl.2021.101320
THE SECOND DICOVA CHALLENGE: DATASET AND PERFORMANCE ANALYSIS FOR DIAGNOSIS OF COVID-19 USING ACOUSTICS,DOI:10.1109/ICASSP43922.2022.9747188
"DiCOVA challenge: Dataset, task, and baseline system for COVID-19 diagnosis using acoustics",DOI:10.21437/Interspeech.2021-74
Towards sound based testing of COVID-19 - Summary of the first diagnostics of COVID-19 using acoustics (DiCOVA) challenge,DOI:10.1121/10.0002462
Acoustic and linguistic features influence talker change detection,DOI:10.21437/Interspeech.2020-2768
"Coswara - A database of breathing, cough, and voice sounds for COVID-19 diagnosis",DOI:10.1109/ICASSP40776.2020.9054294
On the Impact of Language Familiarity in Talker Change Detection,DOI:10.1109/ICASSP.2019.8682477
Analyzing Human Reaction Time for Talker Change Detection,DOI:10.1121/1.5084044
