year,importer1,importer2,flow1,flow2
2021,"Pinto L.","Kumar R.",8.19,4.36
2021,"Pinto L.","Bhat S.",8.19,4.36
2021,"Pinto L.","Chetupalli S.R.",8.19,4.36
2021,"Pinto L.","Ganapathy S.",8.19,4.36
2021,"Pinto L.","Ramoji S.",8.19,4.36
2021,"Pinto L.","Nanda V.",8.19,4.36
2021,"Nirmala R.","Sharma N.",8.19,4.36
2021,"Nirmala R.","Krishnan P.",8.19,4.36
2021,"Nirmala R.","Ghoshy P.K.",8.19,4.36
2021,"Nirmala R.","Kumar R.",8.19,4.36
2021,"Nirmala R.","Bhat S.",8.19,4.36
2021,"Nirmala R.","Chetupalli S.R.",8.19,4.36
2021,"Nirmala R.","Ganapathy S.",8.19,4.36
2021,"Nirmala R.","Ramoji S.",8.19,4.36
2021,"Nirmala R.","Nanda V.",8.19,4.36
2021,"Sharma N.","Krishnan P.",8.19,4.36
2021,"Sharma N.","Ghoshy P.K.",8.19,4.36
2021,"Sharma N.","Kumar R.",8.19,4.36
2021,"Sharma N.","Bhat S.",8.19,4.36
2021,"Sharma N.","Chetupalli S.R.",8.19,4.36
2021,"Sharma N.","Ganapathy S.",8.19,4.36
2021,"Sharma N.","Ramoji S.",8.19,4.36
2021,"Sharma N.","Nanda V.",8.19,4.36
2021,"Krishnan P.","Ghoshy P.K.",8.19,4.36
2021,"Krishnan P.","Kumar R.",8.19,4.36
2021,"Krishnan P.","Bhat S.",8.19,4.36
2021,"Krishnan P.","Chetupalli S.R.",8.19,4.36
2021,"Krishnan P.","Ganapathy S.",8.19,4.36
2021,"Krishnan P.","Ramoji S.",8.19,4.36
2021,"Krishnan P.","Nanda V.",8.19,4.36
2021,"Ghoshy P.K.","Kumar R.",8.19,4.36
2021,"Ghoshy P.K.","Bhat S.",8.19,4.36
2021,"Ghoshy P.K.","Chetupalli S.R.",8.19,4.36
2021,"Ghoshy P.K.","Ganapathy S.",8.19,4.36
2021,"Ghoshy P.K.","Ramoji S.",8.19,4.36
2021,"Ghoshy P.K.","Nanda V.",8.19,4.36
2021,"Kumar R.","Bhat S.",8.19,4.36
2021,"Kumar R.","Chetupalli S.R.",8.19,4.36
2021,"Kumar R.","Ganapathy S.",8.19,4.36
2021,"Kumar R.","Ramoji S.",8.19,4.36
