Titles,DOIs
Manipuri–English comparable corpus for cross-lingual studies,DOI:10.1007/s10579-021-09576-y
Investigating political polarization in India through the lens of Twitter,DOI:10.1007/s13278-022-00939-z
TEAM: A multitask learning based Taxonomy Expansion approach for Attach and Merge,DOI:10.1007/s10844-022-00741-5
Text_Minor at CheckThat! 2022: Fake News Article Detection Using RoBERT.,DOI:10.1017/S1351324921000115
Effect of attention and triplet loss on chart classification: a study on noisy charts and confusing chart pairs,DOI:10.1109/TCSS.2022.3171206
SwitchNet: Learning to switch for word-level language identification in code-mixed social media text,DOI:https://doi.org/10.1007/s42979-021-01005-9
Hashtag-Based Tweet Expansion for Improved Topic Modeling,DOI:10.1145/3467966
